Kategori,Kode,Uraian Mata Anggaran Kegiatan (MAK) Induk,Uraian Mata Anggaran Kegiatan (MAK) Rinci,No Mata Anggaran Kegiatan (MAK),Keterangan
Belanja Modal,A01,Peralatan Perkantoran,Belanja Alat pencetak kartu (Fargo DTC1250E),6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A02,Peralatan Perkantoran,Belanja Credenza,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A03,Peralatan Perkantoran,Belanja Filling cabinet,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A04,Peralatan Perkantoran,Belanja Handphone Android,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A05,Peralatan Perkantoran,Belanja Kamera (Canon power short G9X),6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A06,Peralatan Perkantoran,Belanja Kulkas 1 pintu,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A07,Peralatan Perkantoran,Belanja Kulkas 2 pintu,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A08,Peralatan Perkantoran,Belanja Kursi hadap pasien (IRJ),6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A09,Peralatan Perkantoran,Belanja Kursi kerja hidrolik,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A10,Peralatan Perkantoran,Belanja Kursi kerja staff,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A11,Peralatan Perkantoran,Belanja Kursi praktek dokter,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A12,Peralatan Perkantoran,Belanja Kursi rapat,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A13,Peralatan Perkantoran,Belanja Kursi tunggu tandem,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A14,Peralatan Perkantoran,Belanja Sofa 1 seater,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A15,Peralatan Perkantoran,Belanja Sofa 2 seater,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A16,Peralatan Perkantoran,Belanja LCD Proyektor,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A17,Peralatan Perkantoran,Belanja Lemari alat tertutup,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A18,Peralatan Perkantoran,Belanja Lemari Arsip,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A19,Peralatan Perkantoran,Belanja Lemari B3,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A20,Peralatan Perkantoran,Belanja Locker 6 pintu gandeng 3,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A21,Peralatan Perkantoran,Belanja Meja Kerja 1 biro,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A22,Peralatan Perkantoran,Belanja Meja Kerja 1/2 biro,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A23,Peralatan Perkantoran,Belanja Meja Lipat Linen,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A24,Peralatan Perkantoran,Belanja Meja kursi makan,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A25,Peralatan Perkantoran,Belanja Meja rapat (12 kursi),6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A26,Peralatan Perkantoran,Belanja Meja rapat (8 kursi),6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A27,Peralatan Perkantoran,Belanja Meja single,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A28,Peralatan Perkantoran,Belanja Meja Workstation,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A29,Peralatan Perkantoran,Belanja Meja workstation lurus,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A30,Peralatan Perkantoran,Belanja Meja workstation tipe L,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A31,Peralatan Perkantoran,Belanja Mesin Scaner Fujitsu scan snap sp600-sp 600A3 Overhead,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A32,Peralatan Perkantoran,Belanja Mesin Scaner Brother ADS 3100,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A33,Peralatan Perkantoran,Belanja Mesin alat penghancur kertas shredder ideal 2245,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A34,Peralatan Perkantoran,Belanja Microphone paging set,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A35,Peralatan Perkantoran,Belanja Rak / Trolley Rekam Medik,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A36,Peralatan Perkantoran,Belanja Rak arsip inaktif,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A37,Peralatan Perkantoran,Belanja Rak Formulir,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A38,Peralatan Perkantoran,Belanja Rak Linen Stailess (4 susun),6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A39,Peralatan Perkantoran,Belanja Sound System,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A40,Peralatan Perkantoran,Belanja Speaker portable 12,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A41,Peralatan Perkantoran,Belanja Troley Linen bersih,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A42,Peralatan Perkantoran,Belanja Troley Linen Kotor,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A43,Peralatan Perkantoran,Belanja Trolley bulat,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A44,Peralatan Perkantoran,Belanja Trolley belanja,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A45,Peralatan Perkantoran,Belanja Trolley Obat Kemoterapi,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A46,Peralatan Perkantoran,Belanja TV LED 32,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A47,Peralatan Perkantoran,Belanja TV LED 43,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A48,Peralatan Perkantoran,Belanja TV LED 55,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A49,Peralatan Perkantoran,Belanja TV LED 65,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A50,Peralatan Perkantoran,Belanja Videotron,6388.EBB.951.054.A.537112,PIC TIM KERJA UMUM
Belanja Modal,A51,Peralatan Perkantoran,Belanja AC 1 PK,6388.EBB.951.054.A.537112,PIC IPS/ RS
Belanja Modal,A52,Peralatan Perkantoran,Belanja AC 2 PK,6388.EBB.951.054.A.537112,PIC IPS/ RS
Belanja Modal,A53,Peralatan Perkantoran,Belanja CCTV  paket,6388.EBB.951.054.A.537112,PIC IPS/ RS
Belanja Modal,A54,Peralatan Perkantoran,Belanja Tab dengan os android ( SIM RS ),6388.EBB.951.054.A.537112,PIC SIM RS
Belanja Modal,A55,Peralatan Perkantoran,Belanja Smartphone dengan os ios,6388.EBB.951.054.A.537112,PIC SIM RS
Belanja Modal,A56,Peralatan Perkantoran,Belanja Smartphone dengan os android,6388.EBB.951.054.A.537112,PIC SIM RS
Belanja Modal,A57,Peralatan Perkantoran,Belanja TV Cable,6388.EBB.951.054.A.537112,PIC SIM RS
Belanja Modal,A58,Peralatan Perkantoran,Belanja TV Antrian 32 TOWER C,6388.EBB.951.054.A.537112,PIC SIM RS
Belanja Modal,A59,Peralatan Perkantoran,Belanja TV Antrian 42 TOWER C,6388.EBB.951.054.A.537112,PIC SIM RS
Belanja Modal,A60,Peralatan Hospital Based (RM),Belanja C-Arm,6807.RAB.001.051.A.832111,
Belanja Modal,A61,Peralatan Hospital Based (RM),Belanja SRS  SBRT Filmless QA (planar dose and position verification),6807.RAB.001.051.A.832111,
