Id,Tanggal Diterima DPP,No. Agenda,Kode unit kerja pengendali,Kode End User,Nomor Surat End User,Tanggal Surat End User,Hal,Kode PPK,Nama PPK,Nomor Surat PPK,Tanggal DPP,Hal PPK,Nama Paket PBJ,Pagu Anggaran (Non Aktif),Pagu Anggaran (Aktif),HPS,Kode MAK,Kelompok Belanja Modal,Kelompok Belanja Operasional,Keterangan Tambahan (Apabila Ada)
1,3-Nov-25,383,A41,A41,KU.03.07/D.XII.5.3/311/2025,29-Sep-25,Usulan Pra-Dipa Pengadaan SAFETY Box Tahun 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1177/2025,29-Oct-25,Pengadaan Safety Box TA. 2026,Pengadaan Safety Box TA. 2026,,453.236.760,453.236.760,B28,,453.236.760,Selesai dilaporkan
2,3-Nov-25,384,A41,A41,KU.03.07/D.XII.5.3/316/2025,30-Sep-25,Usulan Pra-Dipa Jasa Pengelolaan Limbah Medis Tahun 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1179/2025,29-Oct-25,Pengadaan Pengolahan Limbah Medis B3 TA. 2026,Pengadaan Pengolahan Limbah Medis B3 TA. 2026,1.465.200.000,0,0,B28,,0,Kaji Ulang PPK
3,4-Nov-25,393,A41,A41,KU.03.07/D.XII.5.3/346/2025,14-Oct-25,Usulan Pra-Dipa Jasa Pengelolaan Limbah Domestik Tahun 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1198/2025,3-Nov-25,Pengadaan Jasa Pengelolaan Limbah Domestik TA. 2026,Pengadaan Jasa Pengelolaan Limbah Domestik TA. 2026,,199.500.000,199.500.000,B28,,199.500.000,Selesai dilaporkan
4,10-Nov-25,401,A41,A41,KU.03.07/D.XII.5.3/355/2025,22-Oct-25,Usulan Pra-Dipa Pengadaan Jasa Pengendalian Vektor dan Binatang Pembawa Penyakit Tahun 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1225/2025,6-Nov-25,Pengadaan Jasa Pengendalian Vektor dan Binatang Pembawa Penyakit Tahun 2026,Pengadaan Jasa Pengendalian Vektor dan Binatang Pembawa Penyakit Tahun 2026,542.409.566,0,0,B28,,0,Kaji Ulang PPK
5,10-Nov-25,403,A27,A28,KU.02.04/D.XII.1.12/158/2025,10-Oct-25,Permohonan Sewa Optically Stimulated Luminescence / OSL,PPK1,PPK Medik dan Gaji,BJ.01.01/D.XII.9.1/1233/2025,7-Nov-25,Pengadaan Jasa Sewa Dosimeter OSL TA. 2026,Pengadaan Jasa Sewa Dosimeter OSL TA. 2026,,180.708.000,180.708.000,B22,,180.708.000,Sedang berproses
6,14-Nov-25,411,A41,A41,KU.03.07/D.XII.5.3/342/2025,8-Oct-25,Usulan Pra-Dipa Jasa Laboratorium Lingkungan Hidup Tahun 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1226/2025,6-Nov-25,Pengadaan Laboratorium Lingkungan Hidup Tahun 2026,Pengadaan Laboratorium Lingkungan Hidup Tahun 2026,,221.108.000,221.108.000,B28,,221.108.000,Selesai dilaporkan
7,18-Nov-25,417,A44,A44,KN.01.03/D.XII.5.7/205/2025,29-Oct-25,KAK Pengadaan Layanan Internet Tahun Anggaran 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1286/2025,17-Nov-25,Pengadaan Layanan Intenet TA. 2026,Pengadaan Layanan Intenet TA. 2026,,1.728.000.000,1.728.000.000,,,1.728.000.000,Selesai dilaporkan
8,21-Nov-25,431,A42,A42,BJ.01.03/D.XII.5.5/90/2025,31-Oct-25,Pengadaan Bahan Pencuci Linen (Chemical Laundry) Tahun 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1299/2025,21-Nov-25,Pengadaan Bahan Pencuci Linen TA. 2026,Pengadaan Bahan Pencuci Linen TA. 2026,,779.042.880,779.042.880,B40,,779.042.880,Sedang berproses
9,28-Nov-25,434,A43,A43,KM.04.04/D.XII.5.1/331/2025,20-Nov-25,Penawaran Pebuatan Kalender Tahun 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1332/2025,27-Nov-25,Pengadaan Kalender TA. 2026,Pengadaan Kalender TA. 2026,,67.155.000,67.155.000,B30,,67.155.000,Selesai dilaporkan
10,28-Nov-25,435,A39,A39,KN.01.03/D.XII.1.18/195/2025,10-Nov-25,Permohonan Pengesahan Kerangka Acuan Kerja (KAK) Pengadaan Bahan Makanan Kering Pasien dan Catering Tahun Anggaran 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1334/2025,27-Nov-25,Pengadaan Bahan Makanan Kering Pasien dan Usaha Catering TA. 2026,Pengadaan Bahan Makanan Kering Pasien dan Usaha Catering TA. 2026,,2.010.062.500,2.010.062.500,,,2.010.062.500,Sedang berproses
11,3-Dec-25,433,A39,A39,KN.01.03/D.XII.1.8/189/2025,11-Nov-25,Permohonan Pengesahan Kerangka Acuan Kerja (KAK) Pengadaan Bahan Makanan Susu Formula Tahun Anggaran 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1373/2025,2-Dec-25,Pengadaan Kebutuhan Susu Formula TA. 2026,Pengadaan Kebutuhan Susu Formula TA. 2026,,3.259.231.800,3.259.231.800,,,3.259.231.800,Kaji Ulang PPK
12,3-Dec-25,434,A39,A39,KN.01.03/D.XII.1.8/198/2025,12-Nov-25,Permohonan Pengesahan Kerangka Acuan Kerja (KAK) Pengadaan Gas LPG Tahun 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1374/2025,2-Dec-25,Pengadaan Tabung Gas LPG 50 Kg dan 12 Kg TA. 2026,Pengadaan Tabung Gas LPG 50 Kg dan 12 Kg TA. 2026,,543.000.000,543.000.000,,,543.000.000,Selesai dilaporkan
13,3-Dec-25,435,A39,A39,KN.01.03/D.XII.1.8/197/2025,11-Nov-25,Permohonan Pengesahan Kerangka Acuan Kerja (KAK) Pengadaan Bahan Makanan Basah Pasien dan Catering Tahun Anggaran 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1369/2025,1-Dec-25,Pengadaan Bahana Makanan Basah Pasien dan Usaha Catering TA. 2026,Pengadaan Bahana Makanan Basah Pasien dan Usaha Catering TA. 2026,,7.492.143.500,7.492.143.500,,,7.492.143.500,Selesai dilaporkan
14,10-Dec-25,447,A44,A44,KN.01.03/D.XII.5.7/236/2025,30-Nov-25,KAK Pengadaan Layanan Backup Internet 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1410/2025,9-Dec-25,Pengadaan Layanan Back Up Internet TA. 2026,Pengadaan Layanan Back Up Internet TA. 2026,,650.000.000,650.000.000,,,650.000.000,Selesai dilaporkan
15,12-Dec-25,449,A44,A44,KN.01.03/D.XII.5.7/237/2025,30-Nov-25,KAK Perpanjangan Pengamanan IT Managed Security 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1409/2025,9-Dec-25,Pengadaan Pengamanan IT Managed Security TA. 2026,Pengadaan Pengamanan IT Managed Security TA. 2026,,833.000.055,833.000.055,,,833.000.055,Selesai dilaporkan
16,12-Dec-25,451,A44,A44,KN.01.03/D.XII.5.7/232/2025,30-Nov-25,KAK Perpanjangan Google Workspace,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1411/2025,9-Dec-25,Pengadaan Layanan  Google Workspace TA. 2026,Pengadaan Layanan  Google Workspace TA. 2026,,562.392.600,562.392.600,,,562.392.600,Selesai dilaporkan
17,16-Dec-25,452,A44,A44,KN.01.03/D.XII.5.7/250/2025,11-Nov-25,KAK Pengadaan Perangkat Pengolah Data,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1436/2025,12-Dec-05,Pengadaan Perangkat Pengolah Data TA. 2026,Pengadaan Perangkat Pengolah Data (Komputer AIO dan Laptop Acer) Usulan Instalasi Sistem Informasi Manajamen RS PKN RS Kanker Dharmais DIPA BLU TA 2026,,1.342.230.000,1.342.230.000,,1.342.230.000,,Selesai dilaporkan
18,16-Dec-25,453,A40,A40,YK.02.01/D.XII.5.4/620/2025,24-Nov-25,Usulan Penarikan Instalasi Gas Medis (Vacum dan Medical Air) Kebutuhan Laboratorium GMP & CRU Gedung Cendana,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1421/2025,12-Dec-05,Penarikan Instalasi Gas Medik (Vacum dan Medical Air) Laboratorium CRU & GMP Gedung C TA. 2025,Penarikan Instalasi Gas Medik (Vacum dan Medical Air) Laboratorium CRU & GMP Gedung C TA. 2025,,97.413.489,97.413.489,B46,,97.413.489,Selesai dilaporkan
19,22-Dec-25,458,A36,A36,BJ.01.03/D.XII.5.2/1046/2025,2-Dec-25,Pengadaan Kartu Pasien Desain Terbaru TA. 2026,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1458/2025,18-Dec-25,Pengadaan Kartu Pasien Desain Terbaru Kebutuhan Januari - Desember 2026,Pengadaan Kartu Pasien Desain Terbaru Kebutuhan Januari - Desember 2026,,188.700.000,188.700.000,,,188.700.000,Selesai dilaporkan
20,22-Dec-25,459,A44,A44,KN.01.03/D.XII.5.7/221/2025,11-Nov-25,KAK Perpanjangan Layanan  Virtual Assistant,PPK3,PPK Non Medik & Jasa Lainnya,BJ.01.01/D.XII.9.3/1461/2025,18-Dec-25,Pengadaan Layanan Virtual Assistant TA. 2026,Pengadaan Layanan Virtual Assistant TA. 2026,,249.900.000,249.900.000,,,249.900.000,Selesai dilaporkan
